time,temperature_2m_max (°C),temperature_2m_min (°C),sunrise (iso8601),sunset (iso8601),daylight_duration (s),sunshine_duration (s),precipitation_sum (mm),wind_speed_10m_max (km/h),wind_gusts_10m_max (km/h)
1970-05-28,24.7,14.8,1970-05-28T06:39,1970-05-28T17:28,38947.69,35823.75,0.00,7.2,16.6
1970-05-29,25.1,13.1,1970-05-29T06:39,1970-05-29T17:28,38909.15,34823.70,0.00,7.3,14.4
1970-05-30,25.2,15.1,1970-05-30T06:39,1970-05-30T17:27,38872.11,35766.26,0.00,8.7,20.5
1970-05-31,24.8,14.8,1970-05-31T06:40,1970-05-31T17:27,38836.60,35738.31,0.00,8.2,15.8
1970-06-01,24.5,12.7,1970-06-01T06:40,1970-06-01T17:27,38802.69,35710.97,0.00,11.4,29.9
1970-06-02,24.1,15.0,1970-06-02T06:41,1970-06-02T17:27,38770.42,35684.31,0.00,6.3,20.2
1970-06-03,23.6,14.4,1970-06-03T06:41,1970-06-03T17:27,38739.86,34408.13,0.00,5.8,22.0
1970-06-04,23.8,14.1,1970-06-04T06:42,1970-06-04T17:27,38711.04,33700.81,0.00,17.8,39.6
1970-06-05,23.8,11.8,1970-06-05T06:42,1970-06-05T17:27,38683.97,35608.94,0.00,28.5,55.8
1970-06-06,23.6,14.3,1970-06-06T06:42,1970-06-06T17:27,38658.39,35584.82,0.00,14.3,37.1
1970-06-07,24.3,16.6,1970-06-07T06:43,1970-06-07T17:27,38634.30,35560.89,0.00,17.9,41.0
1970-06-08,21.1,15.1,1970-06-08T06:43,1970-06-08T17:27,38611.72,25050.49,0.50,12.1,21.6
1970-06-09,21.5,15.3,1970-06-09T06:43,1970-06-09T17:27,38590.67,30780.31,1.10,13.3,26.3
1970-06-10,22.7,14.0,1970-06-10T06:44,1970-06-10T17:27,38571.17,29796.21,0.00,13.6,26.3
1970-06-11,24.3,15.0,1970-06-11T06:44,1970-06-11T17:27,38553.23,32454.21,0.00,11.9,28.4
1970-06-12,25.4,14.9,1970-06-12T06:44,1970-06-12T17:27,38536.87,33093.98,0.00,14.3,28.8
1970-06-13,25.1,14.7,1970-06-13T06:45,1970-06-13T17:27,38522.11,35425.04,0.00,17.6,38.5
1970-06-14,24.1,15.2,1970-06-14T06:45,1970-06-14T17:27,38508.95,23238.95,3.30,18.9,31.3
1970-06-15,16.6,13.4,1970-06-15T06:45,1970-06-15T17:27,38497.42,0.00,21.50,14.3,31.0
1970-06-16,16.7,12.5,1970-06-16T06:46,1970-06-16T17:27,38487.54,4995.78,0.40,17.2,36.0
1970-06-17,22.7,12.2,1970-06-17T06:46,1970-06-17T17:27,38479.30,26866.61,0.00,15.9,30.2
1970-06-18,23.2,13.0,1970-06-18T06:46,1970-06-18T17:28,38472.75,35330.01,0.00,21.4,39.6
1970-06-19,22.0,13.6,1970-06-19T06:47,1970-06-19T17:28,38467.87,29365.78,0.30,14.9,24.5
1970-06-20,24.0,14.9,1970-06-20T06:47,1970-06-20T17:28,38464.68,32400.00,0.00,16.1,31.0
1970-06-21,24.2,12.3,1970-06-21T06:47,1970-06-21T17:28,38463.21,35284.92,0.00,16.3,38.2
1970-06-22,24.3,12.2,1970-06-22T06:47,1970-06-22T17:28,38463.46,35272.30,0.80,21.1,43.6
1970-06-23,19.4,14.4,1970-06-23T06:47,1970-06-23T17:29,38465.44,8060.19,21.60,17.1,34.2
1970-06-24,15.0,10.4,1970-06-24T06:48,1970-06-24T17:29,38469.16,1578.39,6.60,18.0,32.0
1970-06-25,13.8,10.4,1970-06-25T06:48,1970-06-25T17:29,38474.65,768.99,0.30,18.4,34.6
1970-06-26,15.9,11.0,1970-06-26T06:48,1970-06-26T17:29,38481.97,3325.75,0.80,16.0,31.0
1970-06-27,20.8,11.9,1970-06-27T06:48,1970-06-27T17:30,38491.09,32157.68,0.60,12.3,23.8
1970-06-28,22.8,11.6,1970-06-28T06:48,1970-06-28T17:30,38502.00,35222.09,0.10,21.7,41.0
1970-06-29,22.4,15.2,1970-06-29T06:48,1970-06-29T17:30,38514.65,35217.00,2.10,19.7,41.4
1970-06-30,17.7,13.5,1970-06-30T06:48,1970-06-30T17:30,38529.02,2835.33,1.20,17.1,34.2
1970-07-01,19.6,13.4,1970-07-01T06:48,1970-07-01T17:31,38545.07,29580.76,0.00,16.3,28.4
1970-07-02,16.6,8.9,1970-07-02T06:48,1970-07-02T17:31,38562.79,2736.70,3.10,16.7,31.7
1970-07-03,16.1,8.8,1970-07-03T06:48,1970-07-03T17:31,38582.13,34495.89,0.00,12.8,33.5
1970-07-04,22.9,8.0,1970-07-04T06:48,1970-07-04T17:32,38603.07,35206.28,0.00,9.1,19.4
1970-07-05,22.8,11.0,1970-07-05T06:48,1970-07-05T17:32,38625.56,35207.35,0.00,10.5,25.6
1970-07-06,22.3,10.9,1970-07-06T06:48,1970-07-06T17:33,38649.59,35209.58,0.00,15.1,28.1
1970-07-07,21.5,10.8,1970-07-07T06:48,1970-07-07T17:33,38675.12,35213.00,0.00,18.9,39.2
1970-07-08,19.8,12.1,1970-07-08T06:48,1970-07-08T17:33,38702.11,19774.27,1.10,18.3,32.4
1970-07-09,13.6,11.1,1970-07-09T06:48,1970-07-09T17:34,38730.53,1660.08,4.90,20.4,37.4
1970-07-10,15.7,10.2,1970-07-10T06:48,1970-07-10T17:34,38760.35,3262.72,1.40,15.7,32.4
1970-07-11,19.6,12.2,1970-07-11T06:48,1970-07-11T17:35,38791.54,27545.73,0.90,10.9,21.2
1970-07-12,17.3,12.3,1970-07-12T06:48,1970-07-12T17:35,38824.06,29537.91,1.60,12.6,28.1
1970-07-13,16.2,12.5,1970-07-13T06:48,1970-07-13T17:35,38857.88,25353.88,10.00,11.0,38.2
1970-07-14,17.2,12.2,1970-07-14T06:48,1970-07-14T17:36,38892.97,32400.00,0.90,18.8,35.6
